Отрасли;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Сельское хозяйство, охота и лесное хозяйство;985;1435;1876;2340;3015;3646;4569;6144;8475;9619;10668;12464;14129;15724;17724;19721;21755
Рыболовство, рыбоводство;2846;3839;5031;5445;7085;10234;12311;14797;19499;22914;23782;25940;29201;32437;37062;46676;54927
Добыча полезных ископаемых;5940;9099;11081;13912;16842;19727;23145;28108;33206;35363;39895;45132;50401;54161;58959;63695;69936
добыча топливно-энергетических  полезных ископаемых;6985;10905;13080;16136;19903;23456;27615;33276;39051;41568;46271;51588;57210;61084;66780;71418;77586
добыча полезных ископаемых,  кроме топливно-энергетических;4000;5387;7035;9396;10877;13176;15364;19093;22937;24064;28306;33580;38267;41754;44441;48724;54513
Обрабатывающие производства;2365;3447;4439;5603;6849;8421;10199;12879;16050;16583;19078;21781;24512;27045;29511;31910;34592
производство пищевых продуктов,включая напитки,и табака;2183;3127;4066;5027;6066;7304;8807;11069;13930;15653;17317;19094;21105;23327;25081;26793;28779
текстильное и швейное производство;1215;1765;2242;2803;3357;3986;4964;6590;8454;9021;10302;11004;12095;13489;14453;15758;17065
производство кожи, изделий из кожи и производство обуви;1348;1986;2621;3230;3775;4695;5649;7537;9522;10073;11346;12351;13136;14725;16119;17796;19847
обработка древесины и производство изделий из дерева;1739;2310;2980;3755;4615;5895;6950;8816;11301;10947;12720;13942;15248;16950;18628;20365;22383
целлюлозно-бумажное производство, издательская и полиграфическая деятельность;2737;4309;5480;6848;7892;9419;10924;13792;17632;17707;20104;23710;26312;28505;29222;30148;32399
производство кокса и нефтепродуктов;4916;7012;9625;11879;13729;19397;22320;28565;34913;37964;41563;48463;59195;64760;75517;81605;88194
химическое производство;2755;3902;4900;6155;7683;9928;11599;14616;18220;19429;22229;25583;28901;32514;36218;39342;43318
производство резиновых и  пластмассовых изделий;2140;3032;3957;4951;5957;6879;8768;11083;13464;13851;15766;17713;19758;21599;23270;25006;27565
производство прочих неметаллических минеральных продуктов;2182;3220;4134;5208;6422;7922;9984;13193;16372;16054;18118;20518;23180;25458;27335;28051;28909
металлургическое производство и производство готовых металлических изделий;3855;5242;6285;7731;9197;10261;12002;14991;18171;17946;21152;23887;26564;28520;30437;33059;35310
производство машин и оборудования;1975;3074;4067;5170;6514;8380;10418;13480;16940;17010;20103;22778;25671;28231;30268;32246;35469
производство электрооборудования, электронного и оптического оборудования;2004;2999;3816;5109;6432;8219;10290;13114;16609;17360;20178;23375;26354;29354;32779;36765;39998
производство транспортных средств и оборудования;2454;3665;5100;6365;7828;9377;11431;14014;17331;17368;20766;24503;27660;30724;33736;36139;39603
прочие производства;2053;2738;3279;4045;5182;6387;8278;10114;12593;12543;13674;15573;17146;18736;19711;21533;21941
Производство и распределение электроэнергии, газа и воды;3157;4435;5869;7235;8642;10637;12828;15587;19057;21554;24156;26966;29437;32231;34808;36865;39629
Строительство;2640;3859;4807;6177;7305;9043;10869;14333;18574;18122;21172;23682;25951;27701;29354;29960;32332
Оптовая и розничная торговля, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования;1585;2295;3069;3974;4906;6552;8235;11476;14927;15959;18406;19613;21634;23168;25601;26947;30030
Гостиницы и рестораны;1640;2404;3039;3967;4737;6033;7522;9339;11536;12470;13466;14693;16631;18304;19759;20626;22041
Транспорт и связь;3220;4304;5852;7471;9320;11351;13390;16452;20761;22401;25590;28609;31444;34576;37011;38982;41510
Финансовая деятельность;5232;8885;13246;15561;17384;22464;27886;34880;41872;42373;50120;55789;58999;63333;68565;70088;80289
Операции с недвижимым имуществом, аренда и предоставление услуг;2457;3546;4677;6196;7795;10237;12763;16642;21275;22610;25623;28239;30926;33846;37559;39815;43737
Государственное управление и обеспечение военной безопасности, социальное страхование;2712;3755;5200;6914;7899;10959;13477;16896;21344;23960;25121;27756;35701;40449;42659;41916;43611
Образование;1240;1833;2927;3387;4203;5430;6983;8778;11317;13294;14075;15809;18995;23458;25862;26928;28088
Здравоохранение и предоставление социальных услуг;1333;1960;3141;3663;4612;5906;8060;10037;13049;14820;15724;17545;20641;24439;27068;28179;29742
Предоставление прочих коммунальных, социальных и персональных услуг;1548;2312;3183;3920;4823;6291;7996;10392;13539;15070;16371;18200;20985;24740;27876;30072;32197
